"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13642","test_login","","Wed Oct 08 22:24:20 UTC 2025","broken","Wed Oct 08 22:24:33 UTC 2025","Test_Create_SOFES","test_T18SOFE","",""
"","6601","test_login","","Wed Oct 08 22:25:29 UTC 2025","broken","Wed Oct 08 22:25:36 UTC 2025","Test_ImpersonateFaculty","test_T05ImpFaculty","",""
"","15686","test_login","","Wed Oct 08 22:21:52 UTC 2025","broken","Wed Oct 08 22:22:08 UTC 2025","Test_Edit_VCBC_Makeup","test_T15EditVCBCMakeup","",""
"","4529","test_login","","Wed Oct 08 22:18:38 UTC 2025","passed","Wed Oct 08 22:18:43 UTC 2025","Test_Login_ElPortal","test_T01Login","",""
"","13300","test_login","","Wed Oct 08 22:22:23 UTC 2025","broken","Wed Oct 08 22:22:36 UTC 2025","Test_Allocate_Slots","test_T16AllocateSlots","",""
"","13690","test_login","","Wed Oct 08 22:19:11 UTC 2025","broken","Wed Oct 08 22:19:25 UTC 2025","Test_AddLearner_Select","test_T04AddLearnerSlt","",""
"","13295","test_login","","Wed Oct 08 22:25:16 UTC 2025","broken","Wed Oct 08 22:25:29 UTC 2025","Test_Student_Assign_Site","test_T22StudentAssignSite","",""
"","14550","test_login","","Wed Oct 08 22:22:08 UTC 2025","broken","Wed Oct 08 22:22:22 UTC 2025","Test_Allocate_Slots","test_T16AddLearnersVcbc","",""
"","13760","test_login","","Wed Oct 08 22:21:23 UTC 2025","broken","Wed Oct 08 22:21:37 UTC 2025","Test_Create_VCBC_Regular","test_T13VCBCRegular","",""
"","13662","test_login","","Wed Oct 08 22:22:37 UTC 2025","broken","Wed Oct 08 22:22:50 UTC 2025","Test_VCBC_AddLearnerBySearch","test_T16VcbcAddLearnerSrc","",""
"","13704","test_login","","Wed Oct 08 22:23:38 UTC 2025","broken","Wed Oct 08 22:23:51 UTC 2025","Test_Site_Adhoc_Faculty_Task","test_T17SiteAdhocFacultyTask","",""
"","13515","test_login","","Wed Oct 08 22:24:34 UTC 2025","broken","Wed Oct 08 22:24:47 UTC 2025","Test_Create_SOFES","test_T19TaskTemplate","",""
"","13573","test_login","","Wed Oct 08 22:18:43 UTC 2025","broken","Wed Oct 08 22:18:57 UTC 2025","Test_Scheduling","test_T02Scheduling","",""
"","16689","test_login","","Wed Oct 08 22:20:49 UTC 2025","broken","Wed Oct 08 22:21:06 UTC 2025","Test_Publish_to_Faculty_Rotation","test_T12PubRotateToFaculty","",""
"","13673","test_login","","Wed Oct 08 22:19:53 UTC 2025","broken","Wed Oct 08 22:20:07 UTC 2025","Test_Start_Coordination_Rotation","test_T07RotationStartCoordination","",""
"","13683","test_login","","Wed Oct 08 22:20:21 UTC 2025","broken","Wed Oct 08 22:20:35 UTC 2025","Test_Transfer_Rotation","test_T08TransferRotationSpecialist","",""
